instance,time,encoding,answer,dataset,memory
results/Grid/Ratio_90/90-26-8,,cd06,,Grid-90,19764
results/Grid/Ratio_90/90-23-3,,cd06,,Grid-90,18388
results/Grid/Ratio_90/90-25-3,,cd06,,Grid-90,19396
results/Grid/Ratio_90/90-26-9,,cd05,,Grid-90,19488
results/Grid/Ratio_90/90-38-3,,cd06,,Grid-90,36060
results/Grid/Ratio_90/90-46-5,,db20,,Grid-90,36780
results/Grid/Ratio_90/90-10-8,0.23,d02,0,Grid-90,29340
results/Grid/Ratio_90/90-21-3,,cd06,,Grid-90,17716
results/Grid/Ratio_90/90-24-3,,sbk05,,Grid-90,40784
results/Grid/Ratio_90/90-12-4,,cd06,,Grid-90,58236
results/Grid/Ratio_90/90-26-10,,db20,,Grid-90,77064
results/Grid/Ratio_90/90-38-1,,cd06,,Grid-90,35960
results/Grid/Ratio_90/90-46-8,,db20,,Grid-90,36764
results/Grid/Ratio_90/90-19-10,,cd06,,Grid-90,25684
results/Grid/Ratio_90/90-12-9,,cd05,,Grid-90,56192
results/Grid/Ratio_90/90-30-1,,cd05,,Grid-90,35768
results/Grid/Ratio_90/90-25-6,,db20,,Grid-90,69924
results/Grid/Ratio_90/90-30-2,,db20,,Grid-90,79760
results/Grid/Ratio_90/90-17-8,,cd05,,Grid-90,35928
results/Grid/Ratio_90/90-38-9,,db20,,Grid-90,20360
results/Grid/Ratio_90/90-34-4,,db20,,Grid-90,48224
results/Grid/Ratio_90/90-18-3,,cd06,,Grid-90,42716
results/Grid/Ratio_90/90-25-3,,d02,,Grid-90,18224
results/Grid/Ratio_90/90-50-8,,sbk05,,Grid-90,36196
results/Grid/Ratio_90/90-16-10,,d02,,Grid-90,49988
results/Grid/Ratio_90/90-12-3,0.357,d02,0.872676,Grid-90,26104
results/Grid/Ratio_90/90-25-5,0.684,db20,0.696815,Grid-90,74600
results/Grid/Ratio_90/90-17-6,,cd06,,Grid-90,44192
results/Grid/Ratio_90/90-24-1,0.241,db20,0,Grid-90,17944
results/Grid/Ratio_90/90-17-6,,sbk05,,Grid-90,73388
results/Grid/Ratio_90/90-15-7,,sbk05,,Grid-90,46792
results/Grid/Ratio_90/90-25-2,,d02,,Grid-90,17700
results/Grid/Ratio_90/90-17-3,,d02,,Grid-90,70356
results/Grid/Ratio_90/90-16-7,,cd06,,Grid-90,48628
results/Grid/Ratio_90/90-20-9,,sbk05,,Grid-90,78384
results/Grid/Ratio_90/90-22-9,,d02,,Grid-90,20492
results/Grid/Ratio_90/90-34-1,,sbk05,,Grid-90,19240
results/Grid/Ratio_90/90-34-3,,cd05,,Grid-90,35812
results/Grid/Ratio_90/90-25-7,,cd05,,Grid-90,19632
results/Grid/Ratio_90/90-30-8,,sbk05,,Grid-90,18104
results/Grid/Ratio_90/90-26-9,,sbk05,,Grid-90,30648
results/Grid/Ratio_90/90-17-9,,d02,,Grid-90,79172
results/Grid/Ratio_90/90-42-5,,cd05,,Grid-90,65216
results/Grid/Ratio_90/90-30-5,,sbk05,,Grid-90,18344
results/Grid/Ratio_90/90-14-5,,cd06,,Grid-90,72824
results/Grid/Ratio_90/90-26-3,,d02,,Grid-90,17972
results/Grid/Ratio_90/90-25-9,,cd05,,Grid-90,19624
results/Grid/Ratio_90/90-20-10,0.219,db20,0.00815648,Grid-90,24280
results/Grid/Ratio_90/90-19-7,,sbk05,,Grid-90,52912
results/Grid/Ratio_90/90-30-10,,cd05,,Grid-90,35780
results/Grid/Ratio_90/90-38-9,,cd06,,Grid-90,36108
results/Grid/Ratio_90/90-19-2,0.389,db20,0.34982,Grid-90,53368
results/Grid/Ratio_90/90-12-3,,cd06,,Grid-90,74136
results/Grid/Ratio_90/90-22-5,,cd05,,Grid-90,18324
results/Grid/Ratio_90/90-25-2,,cd05,,Grid-90,19216
results/Grid/Ratio_90/90-21-6,,d02,,Grid-90,27600
results/Grid/Ratio_90/90-14-2,0.615,sbk05,0.281768,Grid-90,42988
results/Grid/Ratio_90/90-24-4,0.538,db20,0.0120528,Grid-90,76772
results/Grid/Ratio_90/90-20-6,0.508,sbk05,0.139962,Grid-90,22432
results/Grid/Ratio_90/90-46-9,,sbk05,,Grid-90,36020
results/Grid/Ratio_90/90-34-8,,cd06,,Grid-90,35912
results/Grid/Ratio_90/90-19-1,,cd06,,Grid-90,29832
results/Grid/Ratio_90/90-23-5,,sbk05,,Grid-90,41396
results/Grid/Ratio_90/90-42-6,,cd06,,Grid-90,64956
results/Grid/Ratio_90/90-15-6,0.057,db20,0.884184,Grid-90,16472
results/Grid/Ratio_90/90-12-9,,cd06,,Grid-90,74848
results/Grid/Ratio_90/90-25-2,0.354,db20,0.868896,Grid-90,33192
results/Grid/Ratio_90/90-22-3,,d02,,Grid-90,30072
results/Grid/Ratio_90/90-17-2,,d02,,Grid-90,51500
results/Grid/Ratio_90/90-24-1,,cd05,,Grid-90,18856
results/Grid/Ratio_90/90-21-8,,sbk05,,Grid-90,70976
results/Grid/Ratio_90/90-22-1,,sbk05,,Grid-90,68656
results/Grid/Ratio_90/90-26-2,,cd06,,Grid-90,19788
results/Grid/Ratio_90/90-18-8,,d02,,Grid-90,43944
results/Grid/Ratio_90/90-30-10,,db20,,Grid-90,93960
results/Grid/Ratio_90/90-14-3,,cd05,,Grid-90,53396
results/Grid/Ratio_90/90-17-4,0.49,db20,0.964163,Grid-90,45140
results/Grid/Ratio_90/90-50-1,,cd05,,Grid-90,65712
results/Grid/Ratio_90/90-26-10,,sbk05,,Grid-90,19288
results/Grid/Ratio_90/90-34-7,,cd05,,Grid-90,35880
results/Grid/Ratio_90/90-22-3,,cd05,,Grid-90,18192
results/Grid/Ratio_90/90-12-1,0.192,sbk05,0.671432,Grid-90,23040
results/Grid/Ratio_90/90-42-5,,d02,,Grid-90,36256
results/Grid/Ratio_90/90-34-1,,db20,,Grid-90,54544
results/Grid/Ratio_90/90-12-7,0.051,db20,0.304307,Grid-90,16136
results/Grid/Ratio_90/90-38-4,,cd05,,Grid-90,36180
results/Grid/Ratio_90/90-10-7,0.13,d02,1,Grid-90,20724
results/Grid/Ratio_90/90-23-2,0.316,db20,0.658168,Grid-90,17004
results/Grid/Ratio_90/90-21-6,,sbk05,,Grid-90,67388
results/Grid/Ratio_90/90-10-9,,cd06,,Grid-90,77540
results/Grid/Ratio_90/90-38-9,,cd05,,Grid-90,36024
results/Grid/Ratio_90/90-16-2,,cd06,,Grid-90,54248
results/Grid/Ratio_90/90-16-6,,sbk05,,Grid-90,51428
results/Grid/Ratio_90/90-10-3,0.013,db20,0.397209,Grid-90,15024
results/Grid/Ratio_90/90-19-7,,d02,,Grid-90,52520
results/Grid/Ratio_90/90-19-2,,cd05,,Grid-90,20948
results/Grid/Ratio_90/90-18-4,,cd05,,Grid-90,37856
results/Grid/Ratio_90/90-14-2,,cd05,,Grid-90,55240
results/Grid/Ratio_90/90-38-10,,sbk05,,Grid-90,20560
results/Grid/Ratio_90/90-34-4,,sbk05,,Grid-90,19276
results/Grid/Ratio_90/90-19-8,,sbk05,,Grid-90,46864
results/Grid/Ratio_90/90-42-2,,cd05,,Grid-90,65200
results/Grid/Ratio_90/90-23-3,,sbk05,,Grid-90,46948
results/Grid/Ratio_90/90-23-4,,cd06,,Grid-90,18444
results/Grid/Ratio_90/90-16-7,0.046,db20,1,Grid-90,15648
results/Grid/Ratio_90/90-18-5,0.09,db20,0.849668,Grid-90,19124
results/Grid/Ratio_90/90-26-8,,sbk05,,Grid-90,26572
results/Grid/Ratio_90/90-14-1,,cd06,,Grid-90,71460
results/Grid/Ratio_90/90-50-6,,cd06,,Grid-90,65576
results/Grid/Ratio_90/90-15-3,,cd06,,Grid-90,42896
results/Grid/Ratio_90/90-46-10,,d02,,Grid-90,36360
results/Grid/Ratio_90/90-20-5,,cd06,,Grid-90,19828
results/Grid/Ratio_90/90-20-8,,d02,,Grid-90,41244
results/Grid/Ratio_90/90-50-2,,db20,,Grid-90,37712
results/Grid/Ratio_90/90-16-10,,cd06,,Grid-90,64100
results/Grid/Ratio_90/90-42-3,,sbk05,,Grid-90,35932
results/Grid/Ratio_90/90-20-1,0.204,db20,0.423479,Grid-90,31032
results/Grid/Ratio_90/90-10-5,,cd05,,Grid-90,57204
results/Grid/Ratio_90/90-46-10,,cd05,,Grid-90,65520
results/Grid/Ratio_90/90-25-2,,cd06,,Grid-90,19052
results/Grid/Ratio_90/90-25-6,,cd05,,Grid-90,19288
results/Grid/Ratio_90/90-50-5,,db20,,Grid-90,37680
results/Grid/Ratio_90/90-15-7,,cd06,,Grid-90,50088
results/Grid/Ratio_90/90-16-2,0.364,d02,0.286279,Grid-90,28992
results/Grid/Ratio_90/90-15-10,0.151,db20,0.217882,Grid-90,21936
results/Grid/Ratio_90/90-38-9,,sbk05,,Grid-90,20140
results/Grid/Ratio_90/90-18-1,0.043,db20,1,Grid-90,16012
results/Grid/Ratio_90/90-10-8,0.019,db20,0,Grid-90,14920
results/Grid/Ratio_90/90-17-7,0.08,db20,0,Grid-90,16064
results/Grid/Ratio_90/90-12-8,0.331,sbk05,1,Grid-90,29912
results/Grid/Ratio_90/90-23-4,,cd05,,Grid-90,18448
results/Grid/Ratio_90/90-46-5,,cd06,,Grid-90,65324
results/Grid/Ratio_90/90-42-1,,d02,,Grid-90,36140
results/Grid/Ratio_90/90-26-5,,cd06,,Grid-90,19764
results/Grid/Ratio_90/90-24-8,,cd06,,Grid-90,18912
results/Grid/Ratio_90/90-20-1,,cd06,,Grid-90,17332
results/Grid/Ratio_90/90-20-6,,cd05,,Grid-90,30616
results/Grid/Ratio_90/90-12-9,0.213,d02,0,Grid-90,21948
results/Grid/Ratio_90/90-50-3,,d02,,Grid-90,65464
results/Grid/Ratio_90/90-38-8,,cd06,,Grid-90,36044
results/Grid/Ratio_90/90-23-3,,cd05,,Grid-90,18348
results/Grid/Ratio_90/90-19-3,,sbk05,,Grid-90,75316
results/Grid/Ratio_90/90-18-10,,d02,,Grid-90,85352
results/Grid/Ratio_90/90-50-8,,db20,,Grid-90,37792
results/Grid/Ratio_90/90-18-2,,cd05,,Grid-90,43876
results/Grid/Ratio_90/90-15-3,0.23,db20,0.10227,Grid-90,29424
results/Grid/Ratio_90/90-15-4,,d02,,Grid-90,76656
results/Grid/Ratio_90/90-25-5,,cd05,,Grid-90,19544
results/Grid/Ratio_90/90-15-1,0.508,sbk05,0.679694,Grid-90,38628
results/Grid/Ratio_90/90-20-4,,cd05,,Grid-90,17376
results/Grid/Ratio_90/90-38-1,,d02,,Grid-90,36084
results/Grid/Ratio_90/90-16-10,0.066,db20,1,Grid-90,15304
results/Grid/Ratio_90/90-17-3,,sbk05,,Grid-90,57948
results/Grid/Ratio_90/90-42-10,,sbk05,,Grid-90,35908
results/Grid/Ratio_90/90-26-4,,cd06,,Grid-90,19552
results/Grid/Ratio_90/90-25-6,,d02,,Grid-90,17608
results/Grid/Ratio_90/90-30-1,,db20,,Grid-90,67524
results/Grid/Ratio_90/90-17-2,0.057,db20,0,Grid-90,16236
results/Grid/Ratio_90/90-15-5,,sbk05,,Grid-90,72828
results/Grid/Ratio_90/90-38-5,,db20,,Grid-90,20276
results/Grid/Ratio_90/90-16-7,,d02,,Grid-90,50088
results/Grid/Ratio_90/90-19-10,,cd05,,Grid-90,38436
results/Grid/Ratio_90/90-38-10,,cd06,,Grid-90,36092
results/Grid/Ratio_90/90-15-7,0.099,db20,0.29278,Grid-90,16960
results/Grid/Ratio_90/90-17-4,,cd05,,Grid-90,22964
results/Grid/Ratio_90/90-42-7,,cd06,,Grid-90,65176
results/Grid/Ratio_90/90-10-9,0.032,sbk05,0.955553,Grid-90,15504
results/Grid/Ratio_90/90-14-9,,sbk05,,Grid-90,59736
results/Grid/Ratio_90/90-19-9,,sbk05,,Grid-90,52788
results/Grid/Ratio_90/90-34-7,,d02,,Grid-90,20608
results/Grid/Ratio_90/90-34-9,,cd06,,Grid-90,35816
results/Grid/Ratio_90/90-30-4,,sbk05,,Grid-90,18244
results/Grid/Ratio_90/90-42-8,,sbk05,,Grid-90,35784
results/Grid/Ratio_90/90-12-10,0.912,d02,0.0195853,Grid-90,58184
results/Grid/Ratio_90/90-30-4,,cd06,,Grid-90,35644
results/Grid/Ratio_90/90-10-1,,cd05,,Grid-90,55732
results/Grid/Ratio_90/90-18-5,,cd06,,Grid-90,29216
results/Grid/Ratio_90/90-21-6,0.24,db20,0,Grid-90,20260
results/Grid/Ratio_90/90-16-9,0.203,db20,0.203543,Grid-90,25844
results/Grid/Ratio_90/90-12-5,,cd05,,Grid-90,58980
results/Grid/Ratio_90/90-16-1,,cd06,,Grid-90,44852
results/Grid/Ratio_90/90-42-10,,db20,,Grid-90,21792
results/Grid/Ratio_90/90-12-9,0.049,sbk05,0,Grid-90,15484
results/Grid/Ratio_90/90-19-4,0.109,db20,0.705243,Grid-90,16748
results/Grid/Ratio_90/90-23-2,,d02,,Grid-90,19756
results/Grid/Ratio_90/90-18-6,,cd05,,Grid-90,41432
results/Grid/Ratio_90/90-24-8,0.25,db20,1,Grid-90,23872
results/Grid/Ratio_90/90-12-1,0.035,db20,0.671432,Grid-90,16264
results/Grid/Ratio_90/90-17-7,,sbk05,,Grid-90,50184
results/Grid/Ratio_90/90-21-1,,sbk05,,Grid-90,70732
results/Grid/Ratio_90/90-38-2,,d02,,Grid-90,35940
results/Grid/Ratio_90/90-16-8,,cd05,,Grid-90,49740
results/Grid/Ratio_90/90-19-10,,sbk05,,Grid-90,73232
results/Grid/Ratio_90/90-46-3,,sbk05,,Grid-90,36012
results/Grid/Ratio_90/90-18-1,,d02,,Grid-90,68152
results/Grid/Ratio_90/90-34-8,,db20,,Grid-90,87672
results/Grid/Ratio_90/90-23-6,,db20,,Grid-90,62260
results/Grid/Ratio_90/90-17-3,0.106,db20,0.345889,Grid-90,17508
results/Grid/Ratio_90/90-24-5,,cd06,,Grid-90,18568
results/Grid/Ratio_90/90-34-7,,db20,,Grid-90,19232
results/Grid/Ratio_90/90-19-7,,cd05,,Grid-90,23724
results/Grid/Ratio_90/90-20-5,,sbk05,,Grid-90,51000
results/Grid/Ratio_90/90-50-8,,cd06,,Grid-90,65460
results/Grid/Ratio_90/90-38-4,,d02,,Grid-90,35948
results/Grid/Ratio_90/90-30-7,,d02,,Grid-90,19308
results/Grid/Ratio_90/90-22-9,,sbk05,,Grid-90,67372
results/Grid/Ratio_90/90-50-5,,d02,,Grid-90,65500
results/Grid/Ratio_90/90-23-7,,cd05,,Grid-90,18496
results/Grid/Ratio_90/90-20-3,,sbk05,,Grid-90,50660
results/Grid/Ratio_90/90-14-7,0.073,db20,1,Grid-90,15416
results/Grid/Ratio_90/90-23-9,,cd06,,Grid-90,18192
results/Grid/Ratio_90/90-18-1,,sbk05,,Grid-90,45036
results/Grid/Ratio_90/90-10-2,0.506,cd06,0,Grid-90,42476
results/Grid/Ratio_90/90-18-2,,d02,,Grid-90,55500
results/Grid/Ratio_90/90-14-1,0.305,sbk05,0.186573,Grid-90,35960
results/Grid/Ratio_90/90-24-1,,sbk05,,Grid-90,37996
results/Grid/Ratio_90/90-30-9,,db20,,Grid-90,32360
results/Grid/Ratio_90/90-10-6,0.043,d02,0,Grid-90,15180
results/Grid/Ratio_90/90-42-4,,cd05,,Grid-90,65056
results/Grid/Ratio_90/90-12-2,,cd05,,Grid-90,58264
results/Grid/Ratio_90/90-38-7,,sbk05,,Grid-90,20564
results/Grid/Ratio_90/90-14-7,0.744,d02,1,Grid-90,77912
results/Grid/Ratio_90/90-30-4,,cd05,,Grid-90,35640
results/Grid/Ratio_90/90-19-1,,db20,,Grid-90,75360
results/Grid/Ratio_90/90-18-4,,cd06,,Grid-90,44588
results/Grid/Ratio_90/90-17-10,,cd06,,Grid-90,68676
results/Grid/Ratio_90/90-17-8,,sbk05,,Grid-90,48444
results/Grid/Ratio_90/90-20-9,,cd06,,Grid-90,40604
results/Grid/Ratio_90/90-20-8,,sbk05,,Grid-90,71956
results/Grid/Ratio_90/90-21-8,0.103,db20,0,Grid-90,16916
results/Grid/Ratio_90/90-14-3,0.028,db20,0.334212,Grid-90,15576
results/Grid/Ratio_90/90-18-7,,sbk05,,Grid-90,44276
results/Grid/Ratio_90/90-30-8,,d02,,Grid-90,19436
results/Grid/Ratio_90/90-12-7,,cd06,,Grid-90,71120
results/Grid/Ratio_90/90-34-8,,d02,,Grid-90,35900
results/Grid/Ratio_90/90-42-9,,d02,,Grid-90,36152
results/Grid/Ratio_90/90-20-6,,d02,,Grid-90,32152
results/Grid/Ratio_90/90-23-1,0.17,db20,1,Grid-90,17420
results/Grid/Ratio_90/90-26-2,,cd05,,Grid-90,19660
results/Grid/Ratio_90/90-19-9,0.059,db20,0,Grid-90,17428
results/Grid/Ratio_90/90-12-1,,cd05,,Grid-90,56776
results/Grid/Ratio_90/90-10-4,0.322,cd06,4.11028e+12,Grid-90,37168
results/Grid/Ratio_90/90-15-2,0.898,d02,0.96817,Grid-90,75140
results/Grid/Ratio_90/90-16-8,0.258,sbk05,0,Grid-90,28780
results/Grid/Ratio_90/90-24-2,,sbk05,,Grid-90,23288
results/Grid/Ratio_90/90-15-6,,cd05,,Grid-90,67976
results/Grid/Ratio_90/90-25-4,,sbk05,,Grid-90,31304
results/Grid/Ratio_90/90-16-5,,sbk05,,Grid-90,74548
results/Grid/Ratio_90/90-17-5,,cd06,,Grid-90,47880
results/Grid/Ratio_90/90-20-6,0.142,db20,0.139962,Grid-90,18572
results/Grid/Ratio_90/90-20-3,1.009,db20,0.956469,Grid-90,81668
results/Grid/Ratio_90/90-17-6,,cd05,,Grid-90,34160
results/Grid/Ratio_90/90-17-1,,d02,,Grid-90,52388
results/Grid/Ratio_90/90-17-1,,sbk05,,Grid-90,75240
results/Grid/Ratio_90/90-23-5,,d02,,Grid-90,18220
results/Grid/Ratio_90/90-12-2,0.047,db20,0.453045,Grid-90,15848
results/Grid/Ratio_90/90-42-6,,cd05,,Grid-90,65188
results/Grid/Ratio_90/90-22-1,,cd05,,Grid-90,18124
results/Grid/Ratio_90/90-14-8,,sbk05,,Grid-90,76840
results/Grid/Ratio_90/90-22-6,,sbk05,,Grid-90,46584
results/Grid/Ratio_90/90-14-10,0.046,db20,0.743831,Grid-90,19312
results/Grid/Ratio_90/90-10-8,,cd06,,Grid-90,55872
results/Grid/Ratio_90/90-15-7,,cd05,,Grid-90,46372
results/Grid/Ratio_90/90-34-3,,d02,,Grid-90,20552
results/Grid/Ratio_90/90-19-8,1,db20,0.154522,Grid-90,61104
results/Grid/Ratio_90/90-20-2,,d02,,Grid-90,35356
results/Grid/Ratio_90/90-14-4,0.024,db20,0,Grid-90,15336
results/Grid/Ratio_90/90-42-8,,cd05,,Grid-90,65116
results/Grid/Ratio_90/90-10-7,,cd06,,Grid-90,75428
results/Grid/Ratio_90/90-46-6,,cd06,,Grid-90,65336
results/Grid/Ratio_90/90-30-1,,d02,,Grid-90,19164
results/Grid/Ratio_90/90-10-7,0.012,db20,1,Grid-90,14680
results/Grid/Ratio_90/90-30-8,,cd06,,Grid-90,35736
results/Grid/Ratio_90/90-14-6,,sbk05,,Grid-90,77044
results/Grid/Ratio_90/90-26-2,0.51,db20,0,Grid-90,69956
results/Grid/Ratio_90/90-19-8,,cd05,,Grid-90,30432
results/Grid/Ratio_90/90-34-10,,sbk05,,Grid-90,19144
results/Grid/Ratio_90/90-18-8,,sbk05,,Grid-90,50400
results/Grid/Ratio_90/90-23-1,,d02,,Grid-90,20224
results/Grid/Ratio_90/90-17-9,,cd05,,Grid-90,32072
results/Grid/Ratio_90/90-10-6,0.468,cd06,0,Grid-90,36556
results/Grid/Ratio_90/90-30-9,,sbk05,,Grid-90,18048
results/Grid/Ratio_90/90-10-4,0.065,d02,0.822906,Grid-90,16976
results/Grid/Ratio_90/90-34-2,,d02,,Grid-90,35748
results/Grid/Ratio_90/90-15-1,0.08,db20,0.679694,Grid-90,18816
results/Grid/Ratio_90/90-22-7,,cd06,,Grid-90,18116
results/Grid/Ratio_90/90-24-10,,d02,,Grid-90,17456
results/Grid/Ratio_90/90-15-10,,d02,,Grid-90,56124
results/Grid/Ratio_90/90-50-7,,db20,,Grid-90,37708
results/Grid/Ratio_90/90-46-8,,sbk05,,Grid-90,36160
results/Grid/Ratio_90/90-50-3,,sbk05,,Grid-90,36248
results/Grid/Ratio_90/90-50-1,,db20,,Grid-90,37784
results/Grid/Ratio_90/90-21-8,,cd06,,Grid-90,29216
results/Grid/Ratio_90/90-46-10,,db20,,Grid-90,36752
results/Grid/Ratio_90/90-15-3,,sbk05,,Grid-90,74584
results/Grid/Ratio_90/90-46-4,,d02,,Grid-90,36368
results/Grid/Ratio_90/90-24-4,,cd05,,Grid-90,18996
results/Grid/Ratio_90/90-25-9,,cd06,,Grid-90,19544
results/Grid/Ratio_90/90-42-2,,cd06,,Grid-90,65004
results/Grid/Ratio_90/90-21-3,0.294,db20,1,Grid-90,16948
results/Grid/Ratio_90/90-23-4,0.43,db20,0.467923,Grid-90,24940
results/Grid/Ratio_90/90-15-3,,d02,,Grid-90,70312
results/Grid/Ratio_90/90-14-5,,d02,,Grid-90,73080
results/Grid/Ratio_90/90-15-8,,sbk05,,Grid-90,76672
results/Grid/Ratio_90/90-10-3,,cd05,,Grid-90,59192
results/Grid/Ratio_90/90-18-10,,cd05,,Grid-90,31620
results/Grid/Ratio_90/90-15-6,,d02,,Grid-90,72128
results/Grid/Ratio_90/90-10-2,0.019,db20,0,Grid-90,14888
results/Grid/Ratio_90/90-46-9,,cd06,,Grid-90,65400
results/Grid/Ratio_90/90-20-2,,cd05,,Grid-90,17612
results/Grid/Ratio_90/90-18-7,,d02,,Grid-90,48356
results/Grid/Ratio_90/90-46-7,,d02,,Grid-90,36216
results/Grid/Ratio_90/90-38-8,,sbk05,,Grid-90,20416
results/Grid/Ratio_90/90-38-1,,cd05,,Grid-90,36068
results/Grid/Ratio_90/90-26-5,,db20,,Grid-90,69696
results/Grid/Ratio_90/90-26-8,,db20,,Grid-90,146436
results/Grid/Ratio_90/90-20-2,0.114,db20,1,Grid-90,16992
results/Grid/Ratio_90/90-26-3,,cd05,,Grid-90,19652
results/Grid/Ratio_90/90-25-10,,cd05,,Grid-90,19064
results/Grid/Ratio_90/90-30-3,,cd06,,Grid-90,35740
results/Grid/Ratio_90/90-30-3,,db20,,Grid-90,83768
results/Grid/Ratio_90/90-12-7,0.103,sbk05,0.304307,Grid-90,17864
results/Grid/Ratio_90/90-50-2,,sbk05,,Grid-90,36248
results/Grid/Ratio_90/90-25-1,,cd05,,Grid-90,19324
results/Grid/Ratio_90/90-10-3,,cd06,,Grid-90,59552
results/Grid/Ratio_90/90-16-3,0.472,sbk05,0.0573066,Grid-90,35956
results/Grid/Ratio_90/90-46-1,,cd05,,Grid-90,65464
results/Grid/Ratio_90/90-38-7,,cd06,,Grid-90,35980
results/Grid/Ratio_90/90-20-9,,cd05,,Grid-90,30256
results/Grid/Ratio_90/90-30-7,,cd06,,Grid-90,35716
results/Grid/Ratio_90/90-22-8,0.219,db20,0,Grid-90,17944
results/Grid/Ratio_90/90-18-9,,cd05,,Grid-90,38732
results/Grid/Ratio_90/90-22-5,0.179,db20,0.168704,Grid-90,30640
results/Grid/Ratio_90/90-30-5,,cd05,,Grid-90,35852
results/Grid/Ratio_90/90-34-6,,sbk05,,Grid-90,19064
results/Grid/Ratio_90/90-22-10,,d02,,Grid-90,17168
results/Grid/Ratio_90/90-24-10,,cd06,,Grid-90,18844
results/Grid/Ratio_90/90-25-9,,d02,,Grid-90,18068
results/Grid/Ratio_90/90-38-7,,db20,,Grid-90,20464
results/Grid/Ratio_90/90-26-7,,cd05,,Grid-90,19508
results/Grid/Ratio_90/90-26-6,,db20,,Grid-90,81120
results/Grid/Ratio_90/90-18-7,,cd05,,Grid-90,49520
results/Grid/Ratio_90/90-21-3,,d02,,Grid-90,51404
results/Grid/Ratio_90/90-46-8,,cd05,,Grid-90,65408
results/Grid/Ratio_90/90-12-10,0.111,sbk05,0.0195853,Grid-90,22036
results/Grid/Ratio_90/90-24-6,,cd06,,Grid-90,18736
results/Grid/Ratio_90/90-38-2,,db20,,Grid-90,20344
results/Grid/Ratio_90/90-22-1,,d02,,Grid-90,25412
results/Grid/Ratio_90/90-22-8,,sbk05,,Grid-90,45924
results/Grid/Ratio_90/90-15-4,,sbk05,,Grid-90,75816
results/Grid/Ratio_90/90-26-6,,cd06,,Grid-90,19528
results/Grid/Ratio_90/90-24-9,,cd05,,Grid-90,18676
results/Grid/Ratio_90/90-19-4,,d02,,Grid-90,70648
results/Grid/Ratio_90/90-16-6,,d02,1,Grid-90,76332
results/Grid/Ratio_90/90-20-10,,d02,,Grid-90,38944
results/Grid/Ratio_90/90-12-8,0.221,d02,1,Grid-90,27892
results/Grid/Ratio_90/90-42-9,,sbk05,,Grid-90,35980
results/Grid/Ratio_90/90-18-9,,cd06,,Grid-90,62772
results/Grid/Ratio_90/90-42-3,,cd06,,Grid-90,65040
results/Grid/Ratio_90/90-50-9,,cd06,,Grid-90,65500
results/Grid/Ratio_90/90-18-6,0.116,db20,0.991177,Grid-90,19356
results/Grid/Ratio_90/90-24-2,0.217,db20,1,Grid-90,17852
results/Grid/Ratio_90/90-46-6,,d02,,Grid-90,36496
results/Grid/Ratio_90/90-12-7,,d02,,Grid-90,71152
results/Grid/Ratio_90/90-50-4,,sbk05,,Grid-90,36224
results/Grid/Ratio_90/90-17-10,0.069,db20,0.424429,Grid-90,16644
results/Grid/Ratio_90/90-50-8,,cd05,,Grid-90,65700
results/Grid/Ratio_90/90-16-5,,cd06,,Grid-90,50924
results/Grid/Ratio_90/90-14-3,0.827,d02,0.334212,Grid-90,53940
results/Grid/Ratio_90/90-30-1,,sbk05,,Grid-90,17976
results/Grid/Ratio_90/90-19-5,,cd06,,Grid-90,17396
results/Grid/Ratio_90/90-42-10,,cd06,,Grid-90,65024
results/Grid/Ratio_90/90-50-4,,cd05,,Grid-90,65672
results/Grid/Ratio_90/90-24-9,0.22,db20,0.480679,Grid-90,33852
results/Grid/Ratio_90/90-24-9,,sbk05,,Grid-90,44212
results/Grid/Ratio_90/90-38-2,,cd05,,Grid-90,36112
results/Grid/Ratio_90/90-10-6,0.533,cd05,0,Grid-90,41504
results/Grid/Ratio_90/90-26-5,,sbk05,,Grid-90,41964
results/Grid/Ratio_90/90-16-5,,cd05,,Grid-90,66728
results/Grid/Ratio_90/90-26-10,,cd05,,Grid-90,19788
results/Grid/Ratio_90/90-46-1,,db20,,Grid-90,36592
results/Grid/Ratio_90/90-21-4,0.072,db20,0,Grid-90,16516
results/Grid/Ratio_90/90-15-8,,cd06,,Grid-90,66680
results/Grid/Ratio_90/90-25-7,,sbk05,,Grid-90,69596
results/Grid/Ratio_90/90-18-3,,d02,,Grid-90,72724
results/Grid/Ratio_90/90-50-4,,cd06,,Grid-90,65628
results/Grid/Ratio_90/90-22-8,,cd05,,Grid-90,17868
results/Grid/Ratio_90/90-34-4,,cd05,,Grid-90,36012
results/Grid/Ratio_90/90-21-1,0.26,db20,0.948237,Grid-90,18768
results/Grid/Ratio_90/90-21-10,,cd06,,Grid-90,17896
results/Grid/Ratio_90/90-23-9,,d02,,Grid-90,28008
results/Grid/Ratio_90/90-50-5,,cd05,,Grid-90,65604
results/Grid/Ratio_90/90-34-2,,cd05,,Grid-90,35972
results/Grid/Ratio_90/90-50-6,,d02,,Grid-90,65548
results/Grid/Ratio_90/90-21-10,,sbk05,,Grid-90,44872
results/Grid/Ratio_90/90-22-6,,cd05,,Grid-90,18232
results/Grid/Ratio_90/90-38-1,,sbk05,,Grid-90,20256
results/Grid/Ratio_90/90-38-8,,cd05,,Grid-90,36056
results/Grid/Ratio_90/90-34-6,,cd06,,Grid-90,35864
