instance,time,encoding,answer,dataset,memory
results/Grid/Ratio_50/50-12-2,,d02,,Grid-50,69988
results/Grid/Ratio_50/50-12-6,,cd06,,Grid-50,51208
results/Grid/Ratio_50/50-15-10,,cd06,,Grid-50,20508
results/Grid/Ratio_50/50-20-9,,cd05,,Grid-50,35532
results/Grid/Ratio_50/50-12-7,,cd05,,Grid-50,34872
results/Grid/Ratio_50/50-17-10,,d02,,Grid-50,18636
results/Grid/Ratio_50/50-10-10,0.274,sbk05,0.914701,Grid-50,26824
results/Grid/Ratio_50/50-15-1,,db20,,Grid-50,77444
results/Grid/Ratio_50/50-12-5,,cd05,,Grid-50,43968
results/Grid/Ratio_50/50-19-2,,d02,,Grid-50,19372
results/Grid/Ratio_50/50-16-3,,db20,,Grid-50,58652
results/Grid/Ratio_50/50-19-6,,cd06,,Grid-50,19836
results/Grid/Ratio_50/50-17-5,,cd05,,Grid-50,19120
results/Grid/Ratio_50/50-16-3,,sbk05,,Grid-50,40312
results/Grid/Ratio_50/50-19-1,,db20,,Grid-50,83552
results/Grid/Ratio_50/50-20-1,,cd05,,Grid-50,35520
results/Grid/Ratio_50/50-10-1,0.426,d02,0.530158,Grid-50,40184
results/Grid/Ratio_50/50-16-1,,sbk05,,Grid-50,66620
results/Grid/Ratio_50/50-14-3,,sbk05,,Grid-50,70068
results/Grid/Ratio_50/50-10-4,,d02,,Grid-50,69828
results/Grid/Ratio_50/50-14-10,,cd05,,Grid-50,24340
results/Grid/Ratio_50/50-20-9,,cd06,,Grid-50,35532
results/Grid/Ratio_50/50-15-3,,sbk05,,Grid-50,49848
results/Grid/Ratio_50/50-10-7,,cd05,,Grid-50,70700
results/Grid/Ratio_50/50-12-3,,cd06,,Grid-50,63220
results/Grid/Ratio_50/50-10-10,,d02,,Grid-50,73452
results/Grid/Ratio_50/50-10-6,,cd06,,Grid-50,41860
results/Grid/Ratio_50/50-14-8,,sbk05,,Grid-50,70252
results/Grid/Ratio_50/50-20-9,,sbk05,,Grid-50,29040
results/Grid/Ratio_50/50-17-9,,d02,,Grid-50,18560
results/Grid/Ratio_50/50-12-8,,cd06,,Grid-50,67516
results/Grid/Ratio_50/50-19-9,,cd06,,Grid-50,35648
results/Grid/Ratio_50/50-14-2,,d02,,Grid-50,35112
results/Grid/Ratio_50/50-12-9,,d02,,Grid-50,44640
results/Grid/Ratio_50/50-10-7,0.332,sbk05,0.474714,Grid-50,35492
results/Grid/Ratio_50/50-12-1,0.235,db20,0.675352,Grid-50,32548
results/Grid/Ratio_50/50-16-8,,cd06,,Grid-50,18332
results/Grid/Ratio_50/50-18-1,,d02,,Grid-50,19052
results/Grid/Ratio_50/50-12-7,,sbk05,,Grid-50,75716
results/Grid/Ratio_50/50-12-4,,sbk05,,Grid-50,56928
results/Grid/Ratio_50/50-15-9,,cd05,,Grid-50,22500
results/Grid/Ratio_50/50-12-5,0.828,db20,0.606353,Grid-50,83720
results/Grid/Ratio_50/50-19-2,,cd06,,Grid-50,19740
results/Grid/Ratio_50/50-10-1,,cd06,,Grid-50,68460
results/Grid/Ratio_50/50-16-3,,cd05,,Grid-50,18284
results/Grid/Ratio_50/50-10-8,0.196,sbk05,0.280401,Grid-50,24084
results/Grid/Ratio_50/50-14-8,,cd05,,Grid-50,35572
results/Grid/Ratio_50/50-15-5,,cd06,,Grid-50,22488
results/Grid/Ratio_50/50-19-7,,cd05,,Grid-50,19784
results/Grid/Ratio_50/50-15-9,,sbk05,,Grid-50,65000
results/Grid/Ratio_50/50-12-5,,cd06,,Grid-50,61396
results/Grid/Ratio_50/50-19-1,,d02,,Grid-50,19304
results/Grid/Ratio_50/50-19-3,,sbk05,,Grid-50,33940
results/Grid/Ratio_50/50-18-8,,d02,,Grid-50,18768
results/Grid/Ratio_50/50-18-9,,cd06,,Grid-50,19172
results/Grid/Ratio_50/50-20-4,,d02,,Grid-50,20304
results/Grid/Ratio_50/50-14-1,,sbk05,,Grid-50,77368
results/Grid/Ratio_50/50-14-1,,db20,,Grid-50,88812
results/Grid/Ratio_50/50-17-10,,cd05,,Grid-50,18864
results/Grid/Ratio_50/50-20-1,,db20,,Grid-50,93760
results/Grid/Ratio_50/50-20-8,,d02,,Grid-50,20252
results/Grid/Ratio_50/50-18-7,,db20,,Grid-50,75328
results/Grid/Ratio_50/50-12-4,,cd06,,Grid-50,46224
results/Grid/Ratio_50/50-18-10,,sbk05,,Grid-50,37864
results/Grid/Ratio_50/50-20-4,,sbk05,,Grid-50,17716
results/Grid/Ratio_50/50-17-4,,cd06,,Grid-50,18888
results/Grid/Ratio_50/50-14-2,,cd05,,Grid-50,37036
results/Grid/Ratio_50/50-15-4,,cd05,,Grid-50,18380
results/Grid/Ratio_50/50-20-9,,d02,,Grid-50,19988
results/Grid/Ratio_50/50-20-5,,sbk05,,Grid-50,18188
results/Grid/Ratio_50/50-19-2,,db20,,Grid-50,92544
results/Grid/Ratio_50/50-12-6,0.298,db20,0.611806,Grid-50,31820
results/Grid/Ratio_50/50-19-6,,cd05,,Grid-50,19872
results/Grid/Ratio_50/50-18-8,,cd06,,Grid-50,19224
results/Grid/Ratio_50/50-16-5,,d02,,Grid-50,18144
results/Grid/Ratio_50/50-12-1,,sbk05,,Grid-50,54924
results/Grid/Ratio_50/50-19-10,,sbk05,,Grid-50,30568
results/Grid/Ratio_50/50-12-10,,sbk05,,Grid-50,74776
results/Grid/Ratio_50/50-16-6,,sbk05,,Grid-50,42680
results/Grid/Ratio_50/50-20-3,,cd06,,Grid-50,35488
results/Grid/Ratio_50/50-10-2,0.054,db20,0.694274,Grid-50,19440
results/Grid/Ratio_50/50-17-6,,d02,,Grid-50,18424
results/Grid/Ratio_50/50-18-5,,d02,,Grid-50,19296
results/Grid/Ratio_50/50-19-8,,sbk05,,Grid-50,28508
results/Grid/Ratio_50/50-18-3,,sbk05,,Grid-50,40520
results/Grid/Ratio_50/50-14-7,,db20,,Grid-50,62320
results/Grid/Ratio_50/50-14-5,,cd06,,Grid-50,37788
results/Grid/Ratio_50/50-15-2,,cd06,,Grid-50,17900
results/Grid/Ratio_50/50-15-6,,sbk05,,Grid-50,72556
results/Grid/Ratio_50/50-17-1,,db20,,Grid-50,76684
results/Grid/Ratio_50/50-17-1,,sbk05,,Grid-50,45388
results/Grid/Ratio_50/50-15-3,,db20,,Grid-50,93568
results/Grid/Ratio_50/50-20-3,,db20,,Grid-50,78132
results/Grid/Ratio_50/50-12-6,,cd05,,Grid-50,66352
results/Grid/Ratio_50/50-15-4,,d02,,Grid-50,34280
results/Grid/Ratio_50/50-15-6,,cd06,,Grid-50,18052
results/Grid/Ratio_50/50-17-10,,db20,,Grid-50,87004
results/Grid/Ratio_50/50-17-3,,d02,,Grid-50,18704
results/Grid/Ratio_50/50-20-4,,cd05,,Grid-50,35544
results/Grid/Ratio_50/50-18-3,,db20,,Grid-50,75892
results/Grid/Ratio_50/50-15-5,,sbk05,,Grid-50,68348
results/Grid/Ratio_50/50-16-6,,d02,,Grid-50,18012
results/Grid/Ratio_50/50-19-8,,db20,,Grid-50,73220
results/Grid/Ratio_50/50-17-9,,sbk05,,Grid-50,63996
results/Grid/Ratio_50/50-12-4,,cd05,,Grid-50,44396
results/Grid/Ratio_50/50-10-8,,cd05,,Grid-50,53288
results/Grid/Ratio_50/50-17-7,,cd05,,Grid-50,19232
results/Grid/Ratio_50/50-14-9,,sbk05,,Grid-50,54612
results/Grid/Ratio_50/50-19-9,,d02,,Grid-50,19676
results/Grid/Ratio_50/50-18-5,,db20,,Grid-50,92784
results/Grid/Ratio_50/50-17-6,,cd05,,Grid-50,18864
results/Grid/Ratio_50/50-18-2,,d02,,Grid-50,18708
results/Grid/Ratio_50/50-12-6,1,d02,0.611807,Grid-50,72308
results/Grid/Ratio_50/50-15-8,,sbk05,,Grid-50,46764
results/Grid/Ratio_50/50-16-10,,d02,,Grid-50,18388
results/Grid/Ratio_50/50-20-9,,db20,,Grid-50,95580
results/Grid/Ratio_50/50-18-8,,db20,,Grid-50,89660
results/Grid/Ratio_50/50-12-3,,cd05,,Grid-50,42752
results/Grid/Ratio_50/50-10-8,0.035,db20,0.280401,Grid-50,17052
results/Grid/Ratio_50/50-17-8,,cd05,,Grid-50,19220
results/Grid/Ratio_50/50-20-6,,db20,,Grid-50,100448
results/Grid/Ratio_50/50-20-10,,cd05,,Grid-50,35536
results/Grid/Ratio_50/50-15-7,,sbk05,,Grid-50,54732
results/Grid/Ratio_50/50-16-6,,cd06,,Grid-50,18476
results/Grid/Ratio_50/50-15-4,,db20,,Grid-50,96612
results/Grid/Ratio_50/50-19-5,,cd06,,Grid-50,35640
results/Grid/Ratio_50/50-19-3,,cd05,,Grid-50,35500
results/Grid/Ratio_50/50-19-2,,sbk05,,Grid-50,20376
results/Grid/Ratio_50/50-12-6,,sbk05,,Grid-50,75388
results/Grid/Ratio_50/50-10-3,0.088,db20,0.437354,Grid-50,22164
results/Grid/Ratio_50/50-20-6,,cd06,,Grid-50,35624
results/Grid/Ratio_50/50-16-6,,db20,,Grid-50,90584
results/Grid/Ratio_50/50-14-4,,d02,,Grid-50,41752
results/Grid/Ratio_50/50-15-2,,db20,,Grid-50,74080
results/Grid/Ratio_50/50-20-10,,sbk05,,Grid-50,17832
results/Grid/Ratio_50/50-20-4,,cd06,,Grid-50,35624
results/Grid/Ratio_50/50-19-1,,cd05,,Grid-50,19904
results/Grid/Ratio_50/50-14-8,,cd06,,Grid-50,34284
results/Grid/Ratio_50/50-14-9,,cd06,,Grid-50,38540
results/Grid/Ratio_50/50-10-3,,cd06,,Grid-50,51776
results/Grid/Ratio_50/50-18-9,,sbk05,,Grid-50,44064
results/Grid/Ratio_50/50-17-8,,db20,,Grid-50,82396
results/Grid/Ratio_50/50-19-10,,d02,,Grid-50,19628
results/Grid/Ratio_50/50-20-3,,cd05,,Grid-50,35556
results/Grid/Ratio_50/50-18-6,,cd06,,Grid-50,19212
results/Grid/Ratio_50/50-18-4,,cd06,,Grid-50,19400
results/Grid/Ratio_50/50-19-8,,d02,,Grid-50,19580
results/Grid/Ratio_50/50-10-2,,cd05,,Grid-50,66740
results/Grid/Ratio_50/50-18-7,,cd06,,Grid-50,19608
results/Grid/Ratio_50/50-19-4,,db20,,Grid-50,81224
results/Grid/Ratio_50/50-17-3,,sbk05,,Grid-50,63364
results/Grid/Ratio_50/50-19-1,,sbk05,,Grid-50,27008
results/Grid/Ratio_50/50-17-5,,d02,,Grid-50,18612
results/Grid/Ratio_50/50-19-4,,sbk05,,Grid-50,21740
results/Grid/Ratio_50/50-15-6,,d02,,Grid-50,33352
results/Grid/Ratio_50/50-19-9,,sbk05,,Grid-50,32508
results/Grid/Ratio_50/50-16-1,,cd05,,Grid-50,18376
results/Grid/Ratio_50/50-14-10,,db20,,Grid-50,83416
results/Grid/Ratio_50/50-14-6,,db20,,Grid-50,66164
results/Grid/Ratio_50/50-14-4,,cd06,,Grid-50,32844
results/Grid/Ratio_50/50-10-6,0.088,db20,0.506807,Grid-50,20364
results/Grid/Ratio_50/50-17-4,,sbk05,,Grid-50,39628
