instance,novelty,width,dataset,inference_time,encoding,encoding_time,answer
results/original/Grid/Ratio_50/50-16-2.dne,new,23,Grid-50,11.675,d02,1.53,0
results/original/Grid/Ratio_50/50-18-6.dne,old,,Grid-50,16.85,cd05,112.97,0.45504978310484934
results/original/Grid/Ratio_50/50-18-8.dne,old,,Grid-50,17.82,cd06,65.99,0.1539318789836871
results/original/Grid/Ratio_50/50-19-3.dne,new,44,Grid-50,13.955,cd05,1.99,0
results/original/Grid/Ratio_50/50-16-1.dne,old,,Grid-50,20.04,d02,169.48,0.5061328124191316
results/original/Grid/Ratio_50/50-19-4.dne,new,21,Grid-50,11.834,d02,1.87,0
results/original/Grid/Ratio_50/50-10-7.dne,old,,Grid-50,2.11,bklm16,2.8,0.4747138
results/original/Grid/Ratio_50/50-18-5.dne,new,23,Grid-50,12.563,d02,2.06,0
results/original/Grid/Ratio_50/50-18-7.dne,new,25,Grid-50,197.225,cw,0.22,0.467563
results/original/Grid/Ratio_50/50-10-6.dne,new,13,Grid-50,11.171,cw,0.15,0.506807
results/original/Grid/Ratio_50/50-12-5.dne,new,16,Grid-50,12.23,sbk05,2.03,0
results/original/Grid/Ratio_50/50-17-3.dne,new,47,Grid-50,13.921,cd05,2.22,0
results/original/Grid/Ratio_50/50-19-3.dne,new,21,Grid-50,11.454,sbk05,2.05,0
results/original/Grid/Ratio_50/50-17-2.dne,new,856,Grid-50,,bklm16,0.23,
results/original/Grid/Ratio_50/50-10-1.dne,old,,Grid-50,1.6,cd06,2.15,0.5301577110433702
results/original/Grid/Ratio_50/50-15-7.dne,new,38,Grid-50,11.573,cd06,1.83,0
results/original/Grid/Ratio_50/50-15-6.dne,old,,Grid-50,3.64,cd05,18.18,0.5457678232093367
results/original/Grid/Ratio_50/50-20-1.dne,new,57,Grid-50,14.018,cd05,1.98,0
results/original/Grid/Ratio_50/50-19-7.dne,new,51,Grid-50,11.266,cd06,2.15,0
results/original/Grid/Ratio_50/50-10-2.dne,new,28,Grid-50,11.38,cd05,1.16,0
results/original/Grid/Ratio_50/50-17-8.dne,new,1039,Grid-50,,bklm16,0.22,
results/original/Grid/Ratio_50/50-10-8.dne,new,303,Grid-50,,bklm16,0.15,
results/original/Grid/Ratio_50/50-15-3.dne,new,41,Grid-50,11.472,cd06,1.68,0
results/original/Grid/Ratio_50/50-20-5.dne,new,51,Grid-50,12.22,cd06,2.23,0
results/original/Grid/Ratio_50/50-20-7.dne,new,24,Grid-50,11.775,d02,2.15,0
results/original/Grid/Ratio_50/50-14-2.dne,old,,Grid-50,1158.29,sbk05,1.71,
results/original/Grid/Ratio_50/50-20-3.dne,new,24,Grid-50,12.583,d02,2.27,0
results/original/Grid/Ratio_50/50-10-2.dne,new,383,Grid-50,,bklm16,0.15,
results/original/Grid/Ratio_50/50-17-4.dne,new,24,Grid-50,11.296,sbk05,1.75,0
results/original/Grid/Ratio_50/50-10-7.dne,new,26,Grid-50,14.334,cd05,1.62,0
results/original/Grid/Ratio_50/50-17-7.dne,old,,Grid-50,1401.4,sbk05,1.91,
results/original/Grid/Ratio_50/50-14-5.dne,new,35,Grid-50,13.747,cd05,1.77,0
results/original/Grid/Ratio_50/50-17-8.dne,new,39,Grid-50,11.885,cd06,2.51,0
results/original/Grid/Ratio_50/50-19-2.dne,new,1124,Grid-50,,bklm16,0.21,
results/original/Grid/Ratio_50/50-12-8.dne,old,,Grid-50,1719.94,sbk05,2.86,
results/original/Grid/Ratio_50/50-14-9.dne,new,40,Grid-50,11.686,cd05,1.65,0
results/original/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1019.3,sbk05,1.28,
results/original/Grid/Ratio_50/50-16-6.dne,new,23,Grid-50,12.14,sbk05,1.76,0
results/original/Grid/Ratio_50/50-12-7.dne,new,33,Grid-50,11.43,cd05,1.68,0
results/original/Grid/Ratio_50/50-17-9.dne,old,,Grid-50,26.31,d02,340.77,0.166428729945697
results/original/Grid/Ratio_50/50-18-8.dne,new,23,Grid-50,11.265,sbk05,1.89,0
results/original/Grid/Ratio_50/50-19-5.dne,new,1252,Grid-50,,bklm16,0.23,
results/original/Grid/Ratio_50/50-18-9.dne,new,999,Grid-50,,bklm16,0.24,
results/original/Grid/Ratio_50/50-18-9.dne,old,,Grid-50,29.7,d02,1228.41,0.2545533535872486
results/original/Grid/Ratio_50/50-12-5.dne,new,16,Grid-50,11.754,d02,1.93,0
results/original/Grid/Ratio_50/50-15-8.dne,new,19,Grid-50,11.548,d02,1.86,0
results/original/Grid/Ratio_50/50-12-9.dne,new,28,Grid-50,11.336,cd06,2.01,0
results/original/Grid/Ratio_50/50-16-7.dne,old,,Grid-50,9.67,d02,61.39,0.6776732635842188
results/original/Grid/Ratio_50/50-20-5.dne,old,,Grid-50,1.31,cd06,1120.2,
results/original/Grid/Ratio_50/50-18-9.dne,new,23,Grid-50,11.924,d02,1.97,0
results/original/Grid/Ratio_50/50-15-10.dne,new,37,Grid-50,11.55,cd06,1.72,0
results/original/Grid/Ratio_50/50-18-10.dne,new,23,Grid-50,14.115,sbk05,2.01,0
results/original/Grid/Ratio_50/50-19-3.dne,old,,Grid-50,1.35,cd05,1500.14,
results/original/Grid/Ratio_50/50-12-1.dne,new,16,Grid-50,11.419,sbk05,1.58,0
results/original/Grid/Ratio_50/50-10-6.dne,old,,Grid-50,1.69,cd05,3.1,0.5068064177819191
results/original/Grid/Ratio_50/50-14-9.dne,new,19,Grid-50,11.286,d02,1.83,0
results/original/Grid/Ratio_50/50-19-5.dne,new,50,Grid-50,12.501,cd06,2.31,0
results/original/Grid/Ratio_50/50-12-2.dne,new,14,Grid-50,13.533,cw,0.16,0.549435
results/original/Grid/Ratio_50/50-17-3.dne,new,43,Grid-50,11.779,cd06,2.02,0
results/original/Grid/Ratio_50/50-14-10.dne,old,,Grid-50,55.38,d02,557.39,0.3089752623523152
results/original/Grid/Ratio_50/50-16-9.dne,new,46,Grid-50,13.986,cd05,1.93,0
results/original/Grid/Ratio_50/50-15-8.dne,old,,Grid-50,5.56,cd06,33.72,0.523446602215462
results/original/Grid/Ratio_50/50-10-9.dne,old,,Grid-50,1.0,bklm16,1.98,0.4799129
results/original/Grid/Ratio_50/50-15-5.dne,new,739,Grid-50,,bklm16,0.26,
results/original/Grid/Ratio_50/50-17-8.dne,old,,Grid-50,340.7,bklm16,33.57,
results/original/Grid/Ratio_50/50-19-3.dne,new,45,Grid-50,12.092,cd06,2.39,0
results/original/Grid/Ratio_50/50-18-1.dne,old,,Grid-50,10.02,cd06,75.5,0.30681271729150406
results/original/Grid/Ratio_50/50-14-10.dne,new,17,Grid-50,12.553,cw,0.15,0.308975
results/original/Grid/Ratio_50/50-10-4.dne,old,,Grid-50,1328.18,sbk05,1.47,
results/original/Grid/Ratio_50/50-17-4.dne,old,,Grid-50,14.96,cd05,88.2,0.5055179899407414
results/original/Grid/Ratio_50/50-18-5.dne,old,,Grid-50,1419.6,sbk05,2.1,
results/original/Grid/Ratio_50/50-14-1.dne,new,662,Grid-50,,bklm16,0.19,
results/original/Grid/Ratio_50/50-15-1.dne,new,34,Grid-50,11.441,cd06,1.64,0
results/original/Grid/Ratio_50/50-15-6.dne,old,,Grid-50,1059.3,sbk05,1.63,
results/original/Grid/Ratio_50/50-10-5.dne,old,,Grid-50,0.61,bklm16,2.4,0.5188453
results/original/Grid/Ratio_50/50-20-10.dne,new,49,Grid-50,13.771,cd05,2.13,0
results/original/Grid/Ratio_50/50-16-4.dne,old,,Grid-50,1224.74,sbk05,1.74,
results/original/Grid/Ratio_50/50-20-6.dne,old,,Grid-50,66.65,d02,1436.62,
results/original/Grid/Ratio_50/50-20-9.dne,new,26,Grid-50,323.841,cw,0.28,0.698242
results/original/Grid/Ratio_50/50-17-5.dne,new,41,Grid-50,11.476,cd06,2.73,0
