dataset,novelty,add_width,instance,inference_time,encoding,answer,encoding_time
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0002,5.72,cd06,0.8000000000000004,64.59
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0001,0.1,bklm16,,3.9
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0012,3.43,d02,0.015625,290.69
2004-PGM,old,,results/2004-pgm/blockmap_05_01-0011,1.36,cd05,0.20000000000000004,2.35
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0000,3.09,cd06,0.8451200000000021,7.66
2004-PGM,old,,results/2004-pgm/mastermind_03_08_04-0011,1.87,d02,1.7904607947395007E-10,4.47
2004-PGM,new,74,results/2004-pgm/blockmap_22_01-0012,768.15,d02pp,0.0454545,641.97
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0003,2.18,cd06,2.824295364810003E-16,6.29
2004-PGM,new,98,results/2004-pgm/blockmap_22_02-0001,664.66,d02,0.464876,237.53
2004-PGM,new,21,results/2004-pgm/mastermind_03_08_03-0010,0.37,sbk05,0,2.83
2004-PGM,old,,results/2004-pgm/blockmap_05_03-0013,0.18,sbk05,0.0524781,3.43
2004-PGM,new,96,results/2004-pgm/blockmap_22_02-0015,510.92,d02pp,0.00413223,620.78
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0015,6.54,cd06pp,0.00347222,49.41
2004-PGM,new,94,results/2004-pgm/blockmap_22_02-0010,529.94,d02,0.00206612,241.55
2004-PGM,new,49,results/2004-pgm/mastermind_10_08_03-0005,183.98,cd06pp,0,11.86
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0014,34.2,bklm16,0.0138889,3.9
2004-PGM,old,,results/2004-pgm/blockmap_15_01-0015,60.79,sbk05,0.0666667,30.05
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0005,2.66,cd06,2.287679245496102E-14,5.07
2004-PGM,new,20,results/2004-pgm/mastermind_03_08_03-0010,0.42,d02,0,2.46
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0006,0.07,bklm16,5.368722e-19,32.54
2004-PGM,new,93,results/2004-pgm/blockmap_22_01-0004,1095.01,sbk05,0.772727,279.7
2004-PGM,new,25,results/2004-pgm/mastermind_04_08_03-0013,0.37,cd06pp,6.54884e-08,4.41
2004-PGM,new,37,results/2004-pgm/mastermind_04_08_04-0006,2.17,cd06pp,0,17.74
2004-PGM,new,87,results/2004-pgm/blockmap_20_03-0015,1130.29,bklm16,,125.6
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0008,6.88,cd05,0.0025,34.76
2004-PGM,new,86,results/2004-pgm/blockmap_20_03-0010,264.7,d02pp,0.00010798,437.95
2004-PGM,new,21,results/2004-pgm/mastermind_03_08_03-0001,0.42,d02,5.37138e-10,2.43
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0009,0.13,bklm16,1.052027e-08,31.6
2004-PGM,new,35,results/2004-pgm/mastermind_06_08_03-0008,0.68,cd06pp,0,8.11
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0008,2.72,d02,0.0017361111111111125,5.95
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0014,10.32,sbk05,0.0138889,11.37
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0001,6.41,cd06pp,0.296296,44.96
2004-PGM,new,28,results/2004-pgm/mastermind_05_08_03-0000,1.47,sbk05,0.84512,3.06
2004-PGM,new,101,results/2004-pgm/blockmap_22_03-0014,1196.32,bklm16,,258.76
2004-PGM,new,40,results/2004-pgm/mastermind_03_08_05-0007,2.44,sbk05,0,4.57
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0005,2.51,d02,2.287679245496102E-14,4.86
2004-PGM,old,,results/2004-pgm/mastermind_03_08_03-0010,0.06,bklm16,2.622731e-13,21.81
2004-PGM,old,,results/2004-pgm/mastermind_04_08_03-0012,2.22,cd06,9.279287098706852E-7,4.11
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0005,1.92,cd06pp,0,13.9
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0009,38.53,cd05pp,0.00390625,337.36
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0009,1.88,cd06,1.0520292181304959E-8,3.93
2004-PGM,old,,results/2004-pgm/mastermind_04_08_03-0013,1.39,d02,6.548841469111725E-8,3.41
2004-PGM,new,19,results/2004-pgm/blockmap_05_03-0003,0.25,cd05pp,0.364431,3.3
2004-PGM,new,160,results/2004-pgm/blockmap_20_01-0002,1164.61,cd05pp,,1126.47
2004-PGM,new,20,results/2004-pgm/mastermind_03_08_03-0001,0.28,d02pp,5.37138e-10,2.67
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0014,6.65,cd06pp,0.0138889,47.12
2004-PGM,new,31,results/2004-pgm/blockmap_10_01-0015,5.14,cd05pp,0.0909091,45.09
2004-PGM,new,80,results/2004-pgm/blockmap_20_01-0010,269.18,d02,0.05,117.3
2004-PGM,old,,results/2004-pgm/mastermind_04_08_04-0006,2.0,cd06,2.117582368135754E-22,5.2
2004-PGM,new,31,results/2004-pgm/mastermind_05_08_03-0012,1.31,sbk05,2.5445e-08,4.12
2004-PGM,new,60,results/2004-pgm/blockmap_15_03-0015,35.85,cd05pp,0.0024425,317.53
2004-PGM,old,,results/2004-pgm/blockmap_20_03-0010,7.31,cd05,1.079796998164345E-4,46.31
2004-PGM,new,87,results/2004-pgm/blockmap_20_03-0000,308.59,d02,0.296296,137.67000000000002
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0014,20.4,bklm16,9.369952e-07,56.28
2004-PGM,new,86,results/2004-pgm/blockmap_20_03-0010,401.17,d02,0.00010798,170.44
2004-PGM,new,21,results/2004-pgm/blockmap_05_01-0011,0.19,sbk05,0.2,1.67
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0002,0.15,bklm16,,96.19
2004-PGM,new,48,results/2004-pgm/blockmap_10_02-0002,5.75,cd06pp,0.00694444,42.57
2004-PGM,new,30,results/2004-pgm/mastermind_05_08_03-0000,0.96,d02pp,0.84512,4.2
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0009,2.03,cd05,1.052029218130496E-8,5.43
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0015,0.27,sbk05,0.0909091,14.27
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0008,0.05,bklm16,,2.47
2004-PGM,old,,results/2004-pgm/mastermind_03_08_04-0011,1.55,cd06,2.4867511038048615E-12,4.53
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0010,6.31,d02,0.002066115702479339,33.86
2004-PGM,new,31,results/2004-pgm/blockmap_10_01-0008,4.15,d02pp,0.0909091,15.93
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0015,0.05,bklm16,,205.52
2004-PGM,old,,results/2004-pgm/blockmap_20_03-0010,0.07,bklm16,,126.7
2004-PGM,new,164,results/2004-pgm/blockmap_20_02-0000,1186.89,cd05pp,,1129.27
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0006,2.06,cd05pp,0,21.23
2004-PGM,new,96,results/2004-pgm/blockmap_22_02-0015,606.51,d02,0.00413223,242.44
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0002,0.05,bklm16,,18.86
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0011,8.18,d02pp,0,8.62
2004-PGM,new,48,results/2004-pgm/mastermind_10_08_03-0005,143.11,d02pp,0,5.46
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0002,3.42,d02,0.5625000000000001,1008.53
2004-PGM,new,84,results/2004-pgm/blockmap_20_02-0008,219.29,d02pp,0.0025,375.57
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0012,5.12,cd05,0.0075,567.75
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0012,0.05,bklm16,,21.95
2004-PGM,old,,results/2004-pgm/blockmap_22_01-0004,5.88,cd05,,1099.87
2004-PGM,new,35,results/2004-pgm/mastermind_06_08_03-0013,8.94,bklm16,1.30307e-06,0.33
2004-PGM,old,,results/2004-pgm/blockmap_05_02-0001,1.39,cd06,0.38888888888888895,2.85
2004-PGM,old,,results/2004-pgm/blockmap_15_01-0015,4.59,cd06,0.0666666666666667,24.32
2004-PGM,new,38,results/2004-pgm/mastermind_04_08_04-0006,5.22,bklm16,0,0.6
2004-PGM,old,,results/2004-pgm/blockmap_22_01-0004,6.88,d02,0.7727272727272725,1018.53
2004-PGM,new,182,results/2004-pgm/blockmap_20_03-0015,1215.53,cd06pp,,1145.78
2004-PGM,new,82,results/2004-pgm/blockmap_20_01-0014,1124.78,bklm16,0.0499999,100.22999999999999
2004-PGM,old,,results/2004-pgm/blockmap_05_02-0015,0.05,bklm16,0.1388889,11.63
2004-PGM,new,19,results/2004-pgm/blockmap_05_02-0001,0.96,bklm16,0.388889,0.3
2004-PGM,new,60,results/2004-pgm/blockmap_15_02-0009,204.27,bklm16,0.00390624,22.0
2004-PGM,new,22,results/2004-pgm/blockmap_05_03-0003,0.21,cd06pp,0.364431,2.91
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0006,7.43,cd06,0.049999999999999996,33.57
2004-PGM,new,30,results/2004-pgm/mastermind_05_08_03-0012,1.09,d02pp,2.54422e-08,5.48
2004-PGM,new,172,results/2004-pgm/blockmap_20_03-0015,1196.06,cd05pp,,1153.7
2004-PGM,new,48,results/2004-pgm/blockmap_10_02-0002,7.28,d02pp,0.00694444,16.64
2004-PGM,new,180,results/2004-pgm/blockmap_20_03-0009,1191.18,cd06pp,,1176.61
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0014,3.54,cd06,9.369963581745094E-7,15.07
2004-PGM,new,30,results/2004-pgm/mastermind_05_08_03-0002,0.5,d02pp,0,3.33
2004-PGM,new,50,results/2004-pgm/mastermind_10_08_03-0014,1083.53,cd05pp,,11.01
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0007,0.15,sbk05,0.0025,128.49
2004-PGM,new,160,results/2004-pgm/blockmap_20_01-0006,1185.54,cd05pp,,1130.59
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0014,6.94,cd05pp,0.0138889,55.37
2004-PGM,new,192,results/2004-pgm/blockmap_22_01-0012,1348.36,cd05pp,,1232.41
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0006,0.02,sbk05,3.38488e-22,5.89
2004-PGM,old,,results/2004-pgm/mastermind_04_08_03-0012,1.95,d02,9.27928709870685E-7,3.46
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0000,6.84,bklm16,0.8451193,36.02
2004-PGM,new,98,results/2004-pgm/blockmap_22_03-0007,550.63,sbk05,8.21895e-05,256.7
2004-PGM,new,21,results/2004-pgm/mastermind_03_08_03-0001,1.05,bklm16,5.37133e-10,0.16
2004-PGM,new,64,results/2004-pgm/blockmap_20_01-0002,314.87,cd06pp,0.8,1078.44
2004-PGM,new,60,results/2004-pgm/blockmap_15_03-0015,59.78,sbk05,0.0024425,34.14
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0005,2.22,cd05,2.287679245496105E-14,7.35
2004-PGM,new,47,results/2004-pgm/blockmap_10_01-0006,7.05,sbk05,0.0909091,11.64
2004-PGM,old,,results/2004-pgm/blockmap_15_03-0015,0.05,bklm16,,20.86
2004-PGM,new,85,results/2004-pgm/blockmap_20_02-0008,1089.16,bklm16,,118.17
2004-PGM,new,30,results/2004-pgm/mastermind_05_08_03-0006,0.53,d02pp,0,3.77
2004-PGM,new,35,results/2004-pgm/mastermind_06_08_03-0008,0.66,cd05pp,0,7.83
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0007,0.06,bklm16,3.384858e-22,58.1
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0002,52.0,sbk05,0.5625,30.05
2004-PGM,new,83,results/2004-pgm/blockmap_20_02-0012,1145.9,bklm16,,109.77000000000001
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0002,12.15,sbk05,0.8,123.91
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0011,7.73,cd06,0.0041322314049586795,123.37
2004-PGM,old,,results/2004-pgm/blockmap_22_01-0015,6.99,cd06,0.045454545454545484,97.65
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0006,0.18,sbk05,0.05,126.56
2004-PGM,new,72,results/2004-pgm/blockmap_22_01-0004,516.53,d02pp,0.772727,647.38
2004-PGM,new,60,results/2004-pgm/blockmap_15_03-0005,45.22,d02pp,0.148382,90.8
2004-PGM,new,38,results/2004-pgm/mastermind_04_08_04-0006,1.86,d02,0,6.21
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0014,3.53,d02,0.013888888888888895,13.29
2004-PGM,new,45,results/2004-pgm/blockmap_15_01-0015,32.87,cd06pp,0.0666667,234.24
2004-PGM,new,19,results/2004-pgm/blockmap_05_03-0003,0.35,d02,0.364431,2.85
2004-PGM,old,,results/2004-pgm/mastermind_04_08_03-0012,0.41,sbk05,9.27929e-07,4.06
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0006,2.71,cd06,3.384882032909457E-22,5.03
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0005,2.14,d02pp,0,7.87
2004-PGM,new,28,results/2004-pgm/mastermind_05_08_03-0009,2.45,bklm16,1.05203e-08,0.24
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0004,0.05,bklm16,,101.84
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0014,2.65,d02,9.369963581745087E-7,18.22
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0006,2.14,d02pp,0,10.9
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0006,0.02,sbk05,0.0909091,10.75
2004-PGM,new,48,results/2004-pgm/blockmap_10_02-0015,6.63,d02pp,0.0138889,14.7
2004-PGM,new,86,results/2004-pgm/blockmap_20_02-0004,1110.55,bklm16,,106.95
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0001,1010.45,sbk05,,235.66
2004-PGM,new,40,results/2004-pgm/mastermind_03_08_05-0006,3.28,sbk05,0,8.49
2004-PGM,new,94,results/2004-pgm/blockmap_22_02-0015,649.93,sbk05,0.00413223,253.79
2004-PGM,old,,results/2004-pgm/blockmap_15_03-0005,2.77,cd05,,1021.71
2004-PGM,new,31,results/2004-pgm/mastermind_03_08_04-0011,0.92,cd06pp,1.49205e-11,7.18
2004-PGM,old,,results/2004-pgm/blockmap_05_03-0013,1.73,d02,0.05247813411078719,2.36
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0001,4.44,cd05,,1082.01
2004-PGM,old,,results/2004-pgm/blockmap_22_01-0004,0.07,bklm16,,203.1
2004-PGM,old,,results/2004-pgm/blockmap_05_03-0003,1.02,d02,0.3644314868804667,2.25
2004-PGM,old,,results/2004-pgm/blockmap_05_03-0003,1.26,cd05,0.3644314868804667,2.53
2004-PGM,new,50,results/2004-pgm/mastermind_10_08_03-0005,141.04,cd05pp,0,10.81
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0007,2.72,d02,0,5.24
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0010,0.05,bklm16,,210.84
2004-PGM,new,31,results/2004-pgm/blockmap_10_01-0015,5.16,d02pp,0.0909091,13.69
2004-PGM,new,87,results/2004-pgm/blockmap_20_03-0010,1176.42,bklm16,,134.07
2004-PGM,new,25,results/2004-pgm/mastermind_04_08_03-0012,0.46,cd06pp,9.27929e-07,6.28
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0009,54.82,sbk05,0.00390625,35.82
2004-PGM,old,,results/2004-pgm/blockmap_10_02-0002,0.03,sbk05,0.00694444,13.22
2004-PGM,new,46,results/2004-pgm/blockmap_15_01-0015,35.42,d02pp,0.0666667,77.34
2004-PGM,new,20,results/2004-pgm/mastermind_03_08_03-0001,0.25,cd06pp,5.37138e-10,4.13
2004-PGM,new,84,results/2004-pgm/blockmap_20_02-0004,316.99,sbk05,0.49,129.36
2004-PGM,new,94,results/2004-pgm/blockmap_22_01-0012,1182.97,bklm16,,220.32999999999998
2004-PGM,new,85,results/2004-pgm/blockmap_20_03-0000,933.77,d02pp,0.296296,372.52
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0002,1.29,cd05,5.629499534213128E-13,3.45
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0006,2.26,d02,3.384882032909457E-22,5.61
2004-PGM,new,176,results/2004-pgm/blockmap_20_02-0000,1208.62,cd06pp,,1136.3
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0001,3.1,cd05,0.29629629629629645,135.91
2004-PGM,old,,results/2004-pgm/mastermind_03_08_04-0011,0.58,bklm16,1.790457e-10,33.4
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0009,36.74,d02pp,0.00390625,81.44
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0012,3.27,cd06,0.015625,19.1
2004-PGM,new,178,results/2004-pgm/blockmap_20_02-0012,1178.9,cd06pp,,1125.08
2004-PGM,new,48,results/2004-pgm/blockmap_10_03-0008,5.85,d02pp,0.00173611,15.49
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0000,6.51,d02,0.49000000000000005,1099.77
2004-PGM,new,50,results/2004-pgm/mastermind_10_08_03-0003,357.47,sbk05,0,7.37
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0005,0.83,sbk05,2.28768e-14,4.45
2004-PGM,old,,results/2004-pgm/blockmap_20_03-0000,0.05,bklm16,,109.03
2004-PGM,new,40,results/2004-pgm/mastermind_03_08_05-0011,14.9,sbk05,0,6.84
2004-PGM,old,,results/2004-pgm/mastermind_04_08_03-0013,1.46,cd05,6.548841469111724E-8,5.95
2004-PGM,new,84,results/2004-pgm/blockmap_20_02-0007,1185.94,bklm16,,117.84
2004-PGM,new,82,results/2004-pgm/blockmap_20_01-0006,1145.7,bklm16,,112.77000000000001
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0008,3.04,cd06,0.09090909090909093,7.54
2004-PGM,old,,results/2004-pgm/mastermind_05_08_03-0000,3.78,sbk05,0.84512,4.59
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0012,48.49,sbk05,0.015625,32.13
2004-PGM,new,100,results/2004-pgm/blockmap_22_03-0014,774.26,sbk05,0.000493137,315.95
2004-PGM,new,49,results/2004-pgm/mastermind_10_08_03-0014,1010.19,bklm16,,0.55
2004-PGM,old,,results/2004-pgm/blockmap_22_03-0014,1011.37,sbk05,,324.11
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0012,1030.68,sbk05,,125.6
2004-PGM,new,47,results/2004-pgm/blockmap_10_02-0002,27.93,bklm16,0.00694439,3.17
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0012,31.69,cd05pp,0.015625,305.62
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0014,1002.91,sbk05,,124.57
2004-PGM,new,28,results/2004-pgm/mastermind_05_08_03-0002,0.64,sbk05,0,4.0
2004-PGM,new,31,results/2004-pgm/mastermind_03_08_04-0011,3.45,bklm16,6.63134e-11,0.4
2004-PGM,new,19,results/2004-pgm/blockmap_05_03-0003,0.25,d02pp,0.364431,2.4
2004-PGM,new,50,results/2004-pgm/blockmap_10_03-0015,34.11,bklm16,0.00347222,3.79
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0006,0.05,bklm16,,2.42
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0006,5.96,d02,0.049999999999999996,30.94
2004-PGM,new,36,results/2004-pgm/mastermind_04_08_04-0006,2.26,cd05pp,0,16.97
2004-PGM,new,28,results/2004-pgm/mastermind_05_08_03-0012,1.09,d02,2.54422e-08,3.2
2004-PGM,old,,results/2004-pgm/mastermind_04_08_03-0012,2.27,cd05,9.279287098706852E-7,5.43
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0006,0.07,sbk05,0.00390625,29.09
2004-PGM,new,83,results/2004-pgm/blockmap_20_03-0009,340.42,sbk05,0.00010798,143.69
2004-PGM,new,47,results/2004-pgm/blockmap_10_01-0006,5.87,d02,0.0909091,8.51
2004-PGM,new,30,results/2004-pgm/mastermind_03_08_04-0011,1.87,sbk05,2.23808e-11,3.41
2004-PGM,new,93,results/2004-pgm/blockmap_22_01-0004,731.54,d02,0.772727,263.48
2004-PGM,new,34,results/2004-pgm/mastermind_06_08_03-0008,1.9,d02,0,5.22
2004-PGM,new,82,results/2004-pgm/blockmap_20_01-0002,1106.32,bklm16,,103.03
2004-PGM,new,82,results/2004-pgm/blockmap_20_02-0007,174.42000000000002,d02pp,0.0025,357.43
2004-PGM,new,80,results/2004-pgm/blockmap_20_01-0002,290.34000000000003,sbk05,0.8,129.76
2004-PGM,old,,results/2004-pgm/blockmap_20_03-0010,6.89,d02,1.079796998164345E-4,35.28
2004-PGM,new,96,results/2004-pgm/blockmap_22_01-0004,1251.1,bklm16,,232.03
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0014,0.07,bklm16,,4.02
2004-PGM,old,,results/2004-pgm/blockmap_10_02-0015,3.06,d02,0.013888888888888897,12.55
2004-PGM,new,47,results/2004-pgm/blockmap_10_01-0015,8.51,sbk05,0.0909091,11.68
2004-PGM,old,,results/2004-pgm/mastermind_06_08_03-0013,3.45,bklm16,1.303067e-06,38.75
2004-PGM,new,35,results/2004-pgm/mastermind_06_08_03-0008,1.82,sbk05,0,4.77
2004-PGM,old,,results/2004-pgm/blockmap_15_03-0015,3.62,d02,0.0024424994911459393,660.78
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0008,0.03,sbk05,0.00173611,11.88
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0012,1044.4,sbk05,,31.28
2004-PGM,new,48,results/2004-pgm/blockmap_10_02-0015,4.94,cd05pp,0.0138889,42.41
2004-PGM,new,35,results/2004-pgm/mastermind_06_08_03-0013,3.17,cd06pp,1.30307e-06,7.6
2004-PGM,new,96,results/2004-pgm/blockmap_22_02-0001,499.15,d02pp,0.464876,633.41
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0015,2.62,cd05,0.09090909090909094,9.73
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0006,2.48,cd06,0.09090909090909091,5.69
2004-PGM,old,,results/2004-pgm/blockmap_22_02-0011,7.46,d02,0.0041322314049586795,1030.06
2004-PGM,new,196,results/2004-pgm/blockmap_22_03-0007,1345.28,cd05pp,,1281.79
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0002,2.78,cd05,,1063.55
2004-PGM,new,190,results/2004-pgm/blockmap_22_02-0001,1312.59,cd05pp,,1267.04
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0012,5.13,cd06,0.0075,60.98
2004-PGM,new,29,results/2004-pgm/mastermind_05_08_03-0002,0.72,d02,0,4.67
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0012,5.59,d02,0.0075,1007.36
2004-PGM,new,30,results/2004-pgm/mastermind_05_08_03-0009,0.64,cd05pp,1.05203e-08,5.77
2004-PGM,old,,results/2004-pgm/mastermind_06_08_03-0008,0.08,bklm16,1.954104e-21,39.47
2004-PGM,new,192,results/2004-pgm/blockmap_22_02-0011,1395.08,cd05pp,,1261.01
2004-PGM,new,95,results/2004-pgm/blockmap_22_01-0015,785.0,sbk05,0.0454545,213.31
2004-PGM,new,19,results/2004-pgm/blockmap_05_02-0001,0.23,cd05pp,0.388889,2.65
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0011,6.18,cd06pp,0,25.6
2004-PGM,new,214,results/2004-pgm/blockmap_22_01-0004,1443.93,cd06pp,,1271.01
2004-PGM,old,,results/2004-pgm/mastermind_06_08_03-0008,2.27,cd06,1.9540975278572664E-21,4.28
2004-PGM,new,31,results/2004-pgm/blockmap_10_01-0008,4.29,cd05pp,0.0909091,53.96
2004-PGM,new,32,results/2004-pgm/blockmap_10_01-0006,4.06,d02pp,0.0909091,15.37
2004-PGM,new,58,results/2004-pgm/blockmap_15_02-0002,49.05,d02,0.5625,29.28
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0011,4.81,cd05,6.955175447215814E-11,22.58
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0007,0.05,sbk05,3.38488e-22,6.41
2004-PGM,old,,results/2004-pgm/blockmap_05_02-0015,0.12,sbk05,0.138889,2.49
2004-PGM,old,,results/2004-pgm/blockmap_10_03-0001,1003.69,sbk05,,13.42
2004-PGM,new,82,results/2004-pgm/blockmap_20_02-0012,184.58,d02pp,0.0075,327.82
2004-PGM,old,,results/2004-pgm/blockmap_05_01-0011,0.05,bklm16,0.2000001,8.36
2004-PGM,new,168,results/2004-pgm/blockmap_20_03-0000,1220.13,cd05pp,,1138.82
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0005,1.99,cd05,7.098612125080126E-16,5.34
2004-PGM,old,,results/2004-pgm/mastermind_03_08_04-0011,0.59,sbk05,1.79046e-10,3.2
2004-PGM,new,19,results/2004-pgm/blockmap_05_03-0013,0.3,d02pp,0.0524781,3.5
2004-PGM,new,39,results/2004-pgm/mastermind_03_08_05-0005,5.05,d02,0,6.33
2004-PGM,new,83,results/2004-pgm/blockmap_20_01-0010,871.98,bklm16,0.0499999,99.7
2004-PGM,new,94,results/2004-pgm/blockmap_22_02-0010,493.14,sbk05,0.00206612,244.18
2004-PGM,new,46,results/2004-pgm/blockmap_10_01-0008,6.22,d02,0.0909091,11.32
2004-PGM,old,,results/2004-pgm/blockmap_10_01-0008,2.8,d02,0.09090909090909093,5.95
2004-PGM,old,,results/2004-pgm/blockmap_15_03-0005,3.95,cd06,0.1483818440871159,25.21
2004-PGM,old,,results/2004-pgm/blockmap_20_02-0008,0.16,sbk05,0.0025,132.92
2004-PGM,old,,results/2004-pgm/blockmap_10_02-0002,2.56,d02,0.0069444444444444415,6.42
2004-PGM,new,82,results/2004-pgm/blockmap_20_02-0007,294.58,sbk05,0.0025,132.87
2004-PGM,old,,results/2004-pgm/blockmap_10_02-0015,0.05,bklm16,,2.9
2004-PGM,new,62,results/2004-pgm/blockmap_15_03-0005,254.93,bklm16,0.148382,24.85
2004-PGM,old,,results/2004-pgm/blockmap_15_02-0009,0.08,sbk05,0.00390625,37.33
2004-PGM,new,64,results/2004-pgm/blockmap_20_01-0006,252.6,d02pp,0.05,379.53
2004-PGM,new,97,results/2004-pgm/blockmap_22_03-0014,824.38,d02,0.000493137,304.94
2004-PGM,new,94,results/2004-pgm/blockmap_22_02-0011,714.86,sbk05,0.00413223,263.35
2004-PGM,new,56,results/2004-pgm/blockmap_15_01-0015,50.55,sbk05,0.0666667,33.92
2004-PGM,old,,results/2004-pgm/blockmap_05_03-0013,1.37,cd06,0.052478134110787195,3.29
2004-PGM,new,94,results/2004-pgm/blockmap_22_01-0012,695.05,d02,0.0454545,246.28
2004-PGM,old,,results/2004-pgm/mastermind_10_08_03-0003,0.81,bklm16,2.824293e-16,59.26
2004-PGM,new,13,results/2004-pgm/blockmap_05_01-0011,0.11,d02pp,0.2,2.09
2004-PGM,new,81,results/2004-pgm/blockmap_20_01-0006,337.78,d02,0.05,143.43
2004-PGM,old,,results/2004-pgm/mastermind_03_08_05-0011,8.12,sbk05,6.95518e-11,6.26
2004-PGM,old,,results/2004-pgm/blockmap_22_01-0012,7.38,cd05,0.045454545454545484,122.84
2004-PGM,new,86,results/2004-pgm/blockmap_20_03-0010,410.26,sbk05,0.00010798,155.28
2004-PGM,new,86,results/2004-pgm/blockmap_20_03-0000,1081.16,bklm16,,118.75
2004-PGM,new,60,results/2004-pgm/blockmap_15_03-0015,45.37,cd06pp,0.0024425,255.89
2004-PGM,old,,results/2004-pgm/blockmap_20_01-0010,5.67,cd05,0.05000000000000003,38.33
