encoding_time,inference_time,novelty,dataset,answer,instance,encoding
2.1,812.31,new,Grid-50,,results/Grid/Ratio_50/50-19-3.dne,cd05
119.33,12.85,old,Grid-50,0.5061328124191316,results/Grid/Ratio_50/50-16-1.dne,d02
2.13,1002.0,new,Grid-50,,results/Grid/Ratio_50/50-19-4.dne,d02
1.28,0.85,old,Grid-50,0.4747138,results/Grid/Ratio_50/50-10-7.dne,bklm16
2.32,1001.7,new,Grid-50,,results/Grid/Ratio_50/50-18-5.dne,d02
0.14,79.32,new,Grid-50,0.467563,results/Grid/Ratio_50/50-18-7.dne,cw
0.1,0.07,new,Grid-50,0.506807,results/Grid/Ratio_50/50-10-6.dne,cw
1.3,2.94,new,Grid-50,0.606353,results/Grid/Ratio_50/50-12-5.dne,sbk05
2.24,1253.29,new,Grid-50,,results/Grid/Ratio_50/50-17-3.dne,cd05
7.07,1006.41,new,Grid-50,,results/Grid/Ratio_50/50-19-3.dne,sbk05
0.11,1003.79,new,Grid-50,,results/Grid/Ratio_50/50-17-2.dne,bklm16
2.42,1.71,old,Grid-50,0.5301577110433702,results/Grid/Ratio_50/50-10-1.dne,cd06
1.82,1008.5,new,Grid-50,,results/Grid/Ratio_50/50-15-7.dne,cd06
17.59,4.89,old,Grid-50,0.5457678232093365,results/Grid/Ratio_50/50-15-6.dne,cd05
2.47,1007.77,new,Grid-50,,results/Grid/Ratio_50/50-20-1.dne,cd05
2.13,1003.12,new,Grid-50,,results/Grid/Ratio_50/50-19-7.dne,cd06
1.2,1004.93,new,Grid-50,,results/Grid/Ratio_50/50-10-2.dne,cd05
0.11,1005.26,new,Grid-50,,results/Grid/Ratio_50/50-17-8.dne,bklm16
0.09,22.27,new,Grid-50,0.280401,results/Grid/Ratio_50/50-10-8.dne,bklm16
1.68,1004.93,new,Grid-50,,results/Grid/Ratio_50/50-15-3.dne,cd06
2.85,1003.28,new,Grid-50,,results/Grid/Ratio_50/50-20-5.dne,cd06
2.06,1004.29,new,Grid-50,,results/Grid/Ratio_50/50-20-7.dne,d02
1.54,1030.5,old,Grid-50,,results/Grid/Ratio_50/50-14-2.dne,sbk05
2.64,1255.82,new,Grid-50,,results/Grid/Ratio_50/50-20-3.dne,d02
0.08,51.47,new,Grid-50,0.694274,results/Grid/Ratio_50/50-10-2.dne,bklm16
1.77,1007.06,new,Grid-50,,results/Grid/Ratio_50/50-17-4.dne,sbk05
1.16,1011.38,new,Grid-50,,results/Grid/Ratio_50/50-10-7.dne,cd05
1.62,1005.85,old,Grid-50,,results/Grid/Ratio_50/50-17-7.dne,sbk05
1.52,1002.82,new,Grid-50,,results/Grid/Ratio_50/50-14-5.dne,cd05
1.91,1006.58,new,Grid-50,,results/Grid/Ratio_50/50-17-8.dne,cd06
0.26,1263.44,new,Grid-50,,results/Grid/Ratio_50/50-19-2.dne,bklm16
1.29,1003.75,old,Grid-50,,results/Grid/Ratio_50/50-12-8.dne,sbk05
1.49,1005.81,new,Grid-50,,results/Grid/Ratio_50/50-14-9.dne,cd05
1.15,1001.15,old,Grid-50,,results/Grid/Ratio_50/50-10-9.dne,sbk05
1.51,1005.24,new,Grid-50,,results/Grid/Ratio_50/50-16-6.dne,sbk05
1.27,1002.35,new,Grid-50,,results/Grid/Ratio_50/50-12-7.dne,cd05
217.64,17.75,old,Grid-50,0.16642872994569696,results/Grid/Ratio_50/50-17-9.dne,d02
2.52,1262.73,new,Grid-50,,results/Grid/Ratio_50/50-18-8.dne,sbk05
0.11,1011.53,new,Grid-50,,results/Grid/Ratio_50/50-19-5.dne,bklm16
0.16,1006.51,new,Grid-50,,results/Grid/Ratio_50/50-18-9.dne,bklm16
1006.8,16.41,old,Grid-50,0.2545533535872485,results/Grid/Ratio_50/50-18-9.dne,d02
1.2,1009.52,new,Grid-50,,results/Grid/Ratio_50/50-12-5.dne,d02
1.64,1006.55,new,Grid-50,,results/Grid/Ratio_50/50-15-8.dne,d02
1.45,1008.34,new,Grid-50,,results/Grid/Ratio_50/50-12-9.dne,cd06
62.85,7.92,old,Grid-50,0.6776732635842186,results/Grid/Ratio_50/50-16-7.dne,d02
1003.61,0.99,old,Grid-50,,results/Grid/Ratio_50/50-20-5.dne,cd06
1.96,1004.97,new,Grid-50,,results/Grid/Ratio_50/50-18-9.dne,d02
1.72,1002.6,new,Grid-50,,results/Grid/Ratio_50/50-15-10.dne,cd06
1.65,1002.81,new,Grid-50,,results/Grid/Ratio_50/50-18-10.dne,sbk05
193.87,22.02,old,Grid-50,0.5079370090573103,results/Grid/Ratio_50/50-19-3.dne,cd05
1.28,176.12,new,Grid-50,0.675352,results/Grid/Ratio_50/50-12-1.dne,sbk05
1.79,1.2,old,Grid-50,0.5068064177819193,results/Grid/Ratio_50/50-10-6.dne,cd05
1.31,1004.06,new,Grid-50,,results/Grid/Ratio_50/50-14-9.dne,d02
2.11,1004.96,new,Grid-50,,results/Grid/Ratio_50/50-19-5.dne,cd06
0.09,0.32,new,Grid-50,0.549435,results/Grid/Ratio_50/50-12-2.dne,cw
2.22,1279.74,new,Grid-50,,results/Grid/Ratio_50/50-17-3.dne,cd06
16.66,3.55,old,Grid-50,0.30897526235231515,results/Grid/Ratio_50/50-14-10.dne,d02
1.76,1001.07,new,Grid-50,,results/Grid/Ratio_50/50-16-9.dne,cd05
22.02,5.79,old,Grid-50,0.523446602215462,results/Grid/Ratio_50/50-15-8.dne,cd06
1.83,4.56,old,Grid-50,0.4799129,results/Grid/Ratio_50/50-10-9.dne,bklm16
0.62,1002.84,new,Grid-50,,results/Grid/Ratio_50/50-15-5.dne,bklm16
37.65,275.11,old,Grid-50,,results/Grid/Ratio_50/50-17-8.dne,bklm16
2.08,1015.86,new,Grid-50,,results/Grid/Ratio_50/50-19-3.dne,cd06
144.84,26.74,old,Grid-50,0.30681271729150394,results/Grid/Ratio_50/50-18-1.dne,cd06
0.1,3.1,new,Grid-50,0.308975,results/Grid/Ratio_50/50-14-10.dne,cw
1.19,1004.25,old,Grid-50,,results/Grid/Ratio_50/50-10-4.dne,sbk05
45.55,9.51,old,Grid-50,0.5055179899407414,results/Grid/Ratio_50/50-17-4.dne,cd05
1.7,1001.97,old,Grid-50,,results/Grid/Ratio_50/50-18-5.dne,sbk05
0.1,1001.74,new,Grid-50,,results/Grid/Ratio_50/50-14-1.dne,bklm16
1.5,1004.67,new,Grid-50,,results/Grid/Ratio_50/50-15-1.dne,cd06
1.59,1003.78,old,Grid-50,,results/Grid/Ratio_50/50-15-6.dne,sbk05
1.63,0.45,old,Grid-50,0.5188453,results/Grid/Ratio_50/50-10-5.dne,bklm16
2.21,1005.76,new,Grid-50,,results/Grid/Ratio_50/50-20-10.dne,cd05
1.61,1005.09,old,Grid-50,,results/Grid/Ratio_50/50-16-4.dne,sbk05
1006.86,82.76,old,Grid-50,0.7869809975465039,results/Grid/Ratio_50/50-20-6.dne,d02
0.18,206.4,new,Grid-50,0.698242,results/Grid/Ratio_50/50-20-9.dne,cw
7.94,1006.0,new,Grid-50,,results/Grid/Ratio_50/50-17-5.dne,cd06
1.54,1004.99,new,Grid-50,,results/Grid/Ratio_50/50-12-4.dne,cd05
1.58,1003.35,old,Grid-50,,results/Grid/Ratio_50/50-17-1.dne,sbk05
1.32,1002.96,old,Grid-50,,results/Grid/Ratio_50/50-12-10.dne,sbk05
2.43,1228.55,new,Grid-50,,results/Grid/Ratio_50/50-19-2.dne,cd05
0.12,1.31,new,Grid-50,0.216835,results/Grid/Ratio_50/50-15-9.dne,cw
2.23,1002.24,new,Grid-50,,results/Grid/Ratio_50/50-19-10.dne,cd06
8.59,2.6,old,Grid-50,0.3484375119170531,results/Grid/Ratio_50/50-14-6.dne,d02
3.77,2.47,old,Grid-50,0.4351957688038674,results/Grid/Ratio_50/50-12-7.dne,cd05
119.64,282.62,old,Grid-50,,results/Grid/Ratio_50/50-19-1.dne,bklm16
0.11,1002.34,new,Grid-50,,results/Grid/Ratio_50/50-18-6.dne,bklm16
3.27,2.04,old,Grid-50,0.6118065945863463,results/Grid/Ratio_50/50-12-6.dne,cd05
51.6,4.5,old,Grid-50,0.7809365823951344,results/Grid/Ratio_50/50-14-4.dne,d02
2.01,1014.58,new,Grid-50,,results/Grid/Ratio_50/50-17-4.dne,cd06
2.13,1006.22,new,Grid-50,,results/Grid/Ratio_50/50-18-9.dne,cd06
1257.78,1.18,old,Grid-50,,results/Grid/Ratio_50/50-20-3.dne,cd05
0.12,15.53,new,Grid-50,0.365786,results/Grid/Ratio_50/50-16-4.dne,cw
2.47,1266.85,old,Grid-50,,results/Grid/Ratio_50/50-19-6.dne,sbk05
2.85,2.08,old,Grid-50,0.6118065945863465,results/Grid/Ratio_50/50-12-6.dne,cd06
0.11,1.71,new,Grid-50,0.306238,results/Grid/Ratio_50/50-14-1.dne,cw
1.96,1006.27,new,Grid-50,,results/Grid/Ratio_50/50-17-6.dne,cd06
2.3,1006.58,new,Grid-50,,results/Grid/Ratio_50/50-19-8.dne,sbk05
128.11,19.88,old,Grid-50,0.45504978310484934,results/Grid/Ratio_50/50-18-6.dne,cd06
29.58,4.83,old,Grid-50,0.6224305710996485,results/Grid/Ratio_50/50-14-5.dne,d02
1061.52,1.3,old,Grid-50,,results/Grid/Ratio_50/50-19-6.dne,cd06
495.88,51.77,old,Grid-50,0.7790326127670165,results/Grid/Ratio_50/50-19-5.dne,cd05
1.73,1253.9,new,Grid-50,,results/Grid/Ratio_50/50-10-1.dne,cd06
2.1,1.82,old,Grid-50,0.24879898335697637,results/Grid/Ratio_50/50-12-8.dne,cd06
1.66,1012.56,old,Grid-50,,results/Grid/Ratio_50/50-15-4.dne,sbk05
1.61,1003.35,new,Grid-50,,results/Grid/Ratio_50/50-17-2.dne,sbk05
0.17,26.29,new,Grid-50,0.789419,results/Grid/Ratio_50/50-17-2.dne,cw
1.7,1004.69,old,Grid-50,,results/Grid/Ratio_50/50-16-2.dne,sbk05
1.57,1002.44,new,Grid-50,,results/Grid/Ratio_50/50-15-2.dne,d02
1.58,1003.56,new,Grid-50,,results/Grid/Ratio_50/50-15-1.dne,d02
1.29,1003.19,new,Grid-50,,results/Grid/Ratio_50/50-14-3.dne,sbk05
1.93,1002.13,new,Grid-50,,results/Grid/Ratio_50/50-19-6.dne,sbk05
1.53,1005.15,old,Grid-50,,results/Grid/Ratio_50/50-18-9.dne,sbk05
1.53,0.51,old,Grid-50,0.611608,results/Grid/Ratio_50/50-10-4.dne,bklm16
2.99,1007.92,new,Grid-50,,results/Grid/Ratio_50/50-17-2.dne,d02
1.64,77.59,new,Grid-50,0.925676,results/Grid/Ratio_50/50-15-3.dne,d02
2.78,7.3,old,Grid-50,0.6753532,results/Grid/Ratio_50/50-12-1.dne,bklm16
329.54,13.54,old,Grid-50,0.15393187898368715,results/Grid/Ratio_50/50-18-8.dne,d02
1.68,1003.98,new,Grid-50,,results/Grid/Ratio_50/50-17-8.dne,cd05
1.94,1004.63,old,Grid-50,,results/Grid/Ratio_50/50-19-9.dne,sbk05
35.56,7.4,old,Grid-50,0.7040722087762588,results/Grid/Ratio_50/50-15-5.dne,cd06
14.66,4.18,old,Grid-50,0.21683547462146252,results/Grid/Ratio_50/50-15-9.dne,cd05
0.12,5.07,new,Grid-50,0.348438,results/Grid/Ratio_50/50-14-6.dne,cw
35.69,276.59000000000003,old,Grid-50,,results/Grid/Ratio_50/50-19-7.dne,bklm16
0.1,1005.09,new,Grid-50,,results/Grid/Ratio_50/50-17-4.dne,bklm16
920.73,61.29,old,Grid-50,0.6311830662182014,results/Grid/Ratio_50/50-15-2.dne,d02
1006.61,0.92,old,Grid-50,,results/Grid/Ratio_50/50-20-7.dne,cd05
